area,age_of_respondent,chronic_illness,nhif_usage,nssf_usage,most_important_life_goal,income_source,avg_mnth_income,hse_land_loan,securities_use,nearest_financial_prod,land_house_ownership,total_exp_per_month,electronic_device,motorvehicle_ownership,livestock_ownership,insurance,Clusters
Urban,16,No,No,No,Education,Family,8000.0,No,No,MMoney,No,7000,No,No,False,No,1
Urban,27,No,Yes,Yes,Food,Family,2000.0,No,No,MMoney,No,20000,Yes,Yes,False,Yes,0
Rural,22,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,No,10000,No,Yes,False,No,1
Rural,29,No,No,No,Career,Family,9872.0,No,Yes,MMoney,No,20000,No,No,False,No,0
Urban,32,No,No,No,Career,Casual_work,8000.0,No,No,MMoney,No,10000,No,No,False,No,1
Rural,35,No,No,No,Career,Casual_work,4000.0,No,No,MMoney,Yes,5000,No,No,True,No,1
Urban,31,No,No,No,Business,Business,10000.0,No,No,MMoney,No,20000,Yes,Yes,False,No,0
Rural,67,No,No,No,Food,Casual_work,1000.0,No,No,MMoney,Yes,1000,No,No,False,No,1
Rural,35,No,No,No,Food,Casual_work,3000.0,No,No,MMoney,Yes,3000,No,No,True,No,1
Urban,42,No,Yes,No,Health,Business,15000.0,No,Yes,MMoney,No,8000,Yes,Yes,False,Yes,1
Urban,32,No,No,No,Health,Family,300.0,No,No,MMoney,No,6000,No,No,False,No,1
Urban,38,No,Yes,No,Food,Casual_work,9872.0,No,No,MMoney,No,5000,No,No,False,Yes,1
Urban,24,No,Yes,No,Food,Family,1000.0,No,No,MMoney,Yes,15000,No,No,False,Yes,1
Rural,30,No,No,No,Health,Agriculture,5000.0,No,No,MMoney,No,4000,No,No,True,No,1
Rural,58,No,No,No,Business,Agriculture,50000.0,No,Yes,MMoney,Yes,10000,No,No,True,Yes,0
Rural,47,No,Yes,No,Education,Agriculture,7000.0,No,No,MMoney,Yes,15000,No,Yes,True,Yes,1
Rural,17,No,No,No,Food,Casual_work,2000.0,No,No,MMoney,No,5000,No,No,True,No,1
Urban,21,No,Yes,Yes,Health,Casual_work,9000.0,No,No,MMoney,No,9000,No,No,False,Yes,1
Urban,66,No,No,No,Education,Family,9872.0,No,No,Bank,No,2000,No,No,False,No,1
Rural,38,No,No,No,Food,Casual_work,9872.0,No,No,MMoney,No,16000,No,No,False,No,1
